epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,53.0608,2.27792,2.21692,1.31158,0.42591,0.38235,0.33317,0.09277,2.20591,1.77509,1.23338,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,54.7779,2.359,2.17148,1.28666,0.60706,0.26471,0.28192,0.09067,2.12529,1.77593,1.2239,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,56.5014,2.22732,2.09315,1.32406,0.44676,0.41176,0.29962,0.09293,2.00722,1.73261,1.21628,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,58.0991,2.20038,2.03974,1.2683,0.44742,0.38107,0.31354,0.09593,1.97845,1.71237,1.19405,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,59.6965,2.27673,2.12044,1.30534,0.35194,0.32353,0.26667,0.09421,1.97383,1.75918,1.18887,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,61.3078,2.1539,1.90546,1.26171,0.42109,0.41176,0.35881,0.11462,1.98841,1.67162,1.18671,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,63.0574,2.2295,2.08815,1.24281,0.49387,0.37333,0.32964,0.10047,2.00681,1.7716,1.1846,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,64.6467,2.24187,2.00988,1.30453,0.53837,0.35294,0.34314,0.11064,1.99463,1.6769,1.17423,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,66.2369,2.20638,2.14982,1.30636,0.46248,0.37968,0.34895,0.10947,1.97104,1.63127,1.17826,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,67.8132,2.30928,2.09344,1.33445,0.43093,0.41176,0.35365,0.103,2.00045,1.60841,1.17749,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,69.518,2.12916,1.96644,1.26127,0.41439,0.44118,0.30878,0.10972,2.12423,1.65702,1.20239,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,71.9121,2.26772,2.09691,1.40735,0.39871,0.44118,0.30863,0.10347,2.15052,1.67042,1.20999,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,73.5476,2.1828,2.08347,1.34165,0.38866,0.52941,0.33846,0.11861,2.16222,1.67791,1.21263,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,75.35,2.18525,2.03183,1.35953,0.45208,0.44118,0.37669,0.13224,2.13313,1.61425,1.21979,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,77.1429,2.09052,2.03202,1.30103,0.48098,0.5,0.37725,0.12998,2.12816,1.62602,1.21143,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,78.7526,2.13833,1.98973,1.3348,0.47763,0.47059,0.4004,0.14021,2.07547,1.60715,1.20468,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,80.396,2.13916,2.05251,1.31573,0.49203,0.44118,0.39234,0.1403,2.06377,1.62514,1.19925,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,82.0449,2.16159,1.96088,1.31945,0.37402,0.52941,0.34309,0.12342,2.0883,1.6674,1.20094,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,83.8077,1.98689,1.99119,1.27513,0.39559,0.5,0.33554,0.12506,2.08316,1.70335,1.19988,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,85.426,2.07541,2.03316,1.31594,0.3864,0.5,0.33373,0.12244,2.07619,1.69179,1.19773,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,87.0446,2.06654,1.95039,1.28308,0.37569,0.44118,0.33409,0.12075,2.10822,1.69915,1.19717,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
