epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,40.4338,2.31496,1.51723,0.94509,0.24879,0.32353,0.24691,0.05974,2.88278,1.65632,1.04469,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,41.6255,2.27188,1.52296,0.95067,0.26338,0.32353,0.21014,0.05451,2.87406,1.67414,1.06337,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,42.9403,2.20506,1.41938,0.96621,0.3119,0.33348,0.2739,0.07596,2.70309,1.6217,0.98602,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,44.1111,2.22757,1.41084,0.92735,0.40464,0.41176,0.31837,0.07798,2.71298,1.59121,0.97359,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,45.2787,2.06183,1.35958,0.93971,0.35288,0.38235,0.22925,0.06101,3.1696,1.56209,1.05453,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,46.4454,2.23468,1.3242,0.93996,0.30124,0.41176,0.21187,0.04725,3.42774,1.55654,1.09733,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,47.7347,2.1358,1.35765,0.92543,0.37367,0.47059,0.25046,0.05589,3.33991,1.55954,1.15882,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,48.8627,2.04667,1.38286,0.9199,0.45108,0.48359,0.28839,0.07864,2.60001,1.57152,1.01387,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,49.9895,2.13362,1.31402,0.94796,0.43489,0.43025,0.2907,0.07899,2.52493,1.5879,1.01413,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,51.1572,2.08115,1.32266,0.93129,0.41946,0.41176,0.27674,0.07796,2.72336,1.58545,0.98414,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,52.4577,1.98683,1.28393,0.90398,0.44918,0.44118,0.2918,0.07344,2.84585,1.58352,0.98798,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,53.6543,2.05413,1.29475,0.89918,0.3949,0.38235,0.25824,0.06339,3.31996,1.50993,1.17061,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
