epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,55.1047,2.00568,1.67487,1.16416,0.65253,0.55882,0.61315,0.22345,1.68114,1.47947,0.97871,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,56.9929,2.15745,1.6751,1.14915,0.68587,0.52941,0.56907,0.20054,1.63198,1.43537,0.98732,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,58.7974,2.03708,1.69773,1.17559,0.72449,0.55882,0.63021,0.23502,1.86536,1.47192,0.98867,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,60.4636,1.95959,1.60805,1.11144,0.79227,0.58824,0.65644,0.26564,1.89828,1.41939,0.98807,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,62.1576,1.96255,1.54381,1.12889,0.73516,0.67647,0.69886,0.26447,1.79823,1.41216,0.97906,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,63.813,1.97669,1.53215,1.13353,0.74949,0.55882,0.64981,0.26205,1.54463,1.30733,0.96182,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,65.6162,1.95247,1.54178,1.09504,0.68229,0.67647,0.70552,0.26655,1.6651,1.31361,0.95784,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,67.316,1.88251,1.55502,1.12427,0.62209,0.73529,0.71755,0.2915,1.61143,1.28551,0.95483,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,69.0482,1.92375,1.53403,1.13722,0.78288,0.58824,0.67187,0.28025,1.60694,1.25715,0.95791,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,70.7296,1.88837,1.48792,1.15464,0.691,0.61765,0.6581,0.2557,1.71931,1.329,0.97334,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,72.5407,1.75659,1.4495,1.08467,0.65377,0.70588,0.70365,0.27308,1.47814,1.31723,0.94528,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,74.1764,1.79458,1.43316,1.07423,0.732,0.73529,0.72603,0.27423,1.57447,1.3138,0.94704,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,75.8188,1.95843,1.53784,1.1067,0.74667,0.73529,0.76345,0.2835,1.69524,1.34004,0.95634,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,77.4888,1.83208,1.42636,1.12577,0.79654,0.67647,0.7542,0.29936,1.6364,1.29298,0.95348,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,79.2911,1.88559,1.50551,1.1007,0.78323,0.58824,0.66378,0.27265,1.63916,1.28077,0.97371,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,80.938,1.77845,1.36323,1.08279,0.82656,0.58824,0.69258,0.26634,1.6056,1.31144,0.98622,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,82.584,1.79317,1.40647,1.09255,0.6325,0.73529,0.7055,0.25161,1.65907,1.22661,0.99137,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,84.2142,1.81068,1.3837,1.08321,0.71925,0.67818,0.67096,0.2511,1.57605,1.20283,0.99497,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,86.0055,1.87946,1.42811,1.10731,0.71831,0.70588,0.69325,0.24625,1.65452,1.35342,1.01202,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,87.6569,1.79109,1.34877,1.06213,0.88454,0.67598,0.75997,0.25209,1.80523,1.35041,1.00948,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,89.3519,1.89964,1.44744,1.10009,0.85695,0.7048,0.7877,0.28202,1.92852,1.31685,0.99814,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
